divesite,country,region,location,X,Y
Twin Rocks,United States,LA County,Catalina Island,-118.3903333,33.41816667
Little Gibraltar,United States,LA County,Catalina Island,-118.4053333,33.42208333
Goat Harbor,United States,LA County,Catalina Island,-118.3956167,33.41736667
Fish Hook,United States,LA County,San Clemente Island,-118.3587667,32.82971667
Coal oil point,United States,California,Santa Barbara,-119.8782796,34.40726815
Little River,United States,California,Mendocino,-123.7910485,39.27412523
White Cove,United States,LA County,Catalina Island,-118.3685167,33.39238333
Church Rock,United States,LA County,Catalina Island,-118.3259,33.29733333
China Point,United States,LA County,Catalina Island,-118.4703333,33.32878333
Pelican Bay,United States,Santa Barbara,Santa Cruz Island,-119.7026167,34.0335
Christmas Tree Cove,United States,LA County,Redondo   Palos Verdes,-118.4188414,33.76277962
Cabrillo Beach,United States,LA County,Redondo   Palos Verdes,-118.2837921,33.70882498
McAbee,United States,California,Monterrey,-121.8988413,36.6156568
Underwater Arch,United States,LA County,Redondo   Palos Verdes,-118.4177899,33.7511948
Archery Range,United States,LA County,Redondo   Palos Verdes,-118.3681878,33.73769245
Pt  Vicente Pinnacles,United States,LA County,Redondo   Palos Verdes,-118.4122431,33.74063219
Horse Pastures,United States,California,Orange County,-117.7275,33.48333333
Long Beach Breakwater,United States,California,LA County,-118.1868571,33.72323762
Cherry Cove,United States,LA County,Catalina Island,-118.501,33.45166667
Lobster Bay,United States,LA County,Catalina Island,-118.5277667,33.42958333
Painted cave,United States,Santa Barbara,Santa Cruz Island,-119.86,34.07203333
San Nicholas Island,United States,LA County,San Nicolas Island,-119.5033333,33.28333333
Sutil Island,United States,LA County,Santa Barbara Island,-119.0441667,33.46166667
Point Lobos,United States,California,Monterrey,-121.9406435,36.52041463
Harbor Reefs,United States,LA County,Catalina Island,-118.49205,33.4483
Skunk Bay,United States,Santa Barbara,Santa Rosa Island,-119.9647222,33.96166667
Prince Island,United States,Santa Barbara,San Miguel Island,-120.3338099,34.0585438
Bechers Cove,United States,Santa Barbara,Santa Rosa Island,-120.0317583,34.00362778
Ship Rock,United States,LA County,Catalina Island,-118.4911111,33.46305556
Pyramid Cove,United States,LA County,San Clemente Island,-118.3916667,32.81666667
Cortez Bank,United States,LA County,San Clemente Island,-119.0883333,32.43166667
USS John C  Butler,United States,LA County,San Clemente Island,-118.5827,33.03606667
Farnsworth Bank,United States,LA County,Catalina Island,-118.5198333,33.34355
Coral Gardens,United States,LA County,San Clemente Island,-118.6268,33.04348333
La Jolla Shores,United States,San Diego,La Jolla,-117.2582012,32.85566181
