divesite,location,country,latitude,longitude,desc
HTMS Thonburi Wreck,,Thailand,102.4243167,11.94925,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/HTMS_Thonburi_Wreck
Koh Talu,,Thailand,99.55385,11.07956667,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Chumphon/Koh_Talu
Koh Ran,,Thailand,99.53095,10.77935,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Chumphon/Koh_Ran
Koh Ran Gai,,Thailand,99.53968333,10.7982,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Chumphon/Koh_Ran_Gai
Koh Lak Ngam,,Thailand,99.40253333,10.46003333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Chumphon/Koh_Lak_Ngam
Koh Ngam Noi,,Thailand,99.41961667,10.487,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Chumphon/Koh_Ngam_Noi
Koh Ngam Yai,,Thailand,99.4234,10.50203333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Chumphon/Koh_Ngam_Yai
Japanese Garden,,Thailand,99.81585503,10.1191187,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/japanese_garden
Twins,,Thailand,99.81173515,10.11725979,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Twins
Nang Yuan Pinnacle,,Thailand,99.81482506,10.12317446,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Nang_Yuan_Pinnacle
Mango Bay,,Thailand,99.83499527,10.12182254,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Mango_Bay
Hin Wong Pinnacle,,Thailand,99.85344887,10.10213464,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Hin_Wong_Pinnacle
Shark Island,,Thailand,99.84529495,10.06199463,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Shark_Island
Sai Ree Beach,,Thailand,99.82349396,10.09376903,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Sai_Ree_Beach
Ko Torinla West,,Thailand,97.86056667,9.368366667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Ko_Torinla_West
Ko Torinla East,,Thailand,97.87021667,9.36675,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Ko_Torinla_East
Hin Pratumba,,Thailand,97.82953333,9.428016667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Hin_Pratumba
Hin Kop,,Thailand,97.87046667,9.474766667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Hin_Kop
Koh Chi,,Thailand,97.90595055,9.472598207,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Koh_Chi
Hin Gong,,Thailand,97.89565086,9.396988224,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Hin_Gong
Snapper Alley,,Thailand,97.65249252,8.674196877,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Snapper_Alley
Breakfast Bend,,Thailand,97.65275002,8.678778692,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Breakfast_Bend
Waterfall Bay,,Thailand,97.63807297,8.66248754,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Waterfall_Bay
South West Rock,,Thailand,99.77876667,9.994566667,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/South_West_Rock
Chumphon Pinnacle,,Thailand,99.77835,10.17148333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Chumphon_Pinnacle
SS Suddhadib,,Thailand,100.9563035,12.53311012,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/HMS_Suddhadib
ChristmasPoint,,Thailand,97.63721466,8.680815037,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/ChristmasPoint
Bon Soong Wreck,,Thailand,98.16318512,8.773796284,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Bon_Soong_Wreck
Turtle Rock,,Thailand,97.63768333,8.663583333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Turtle_Rock
Beacon Beach,,Thailand,97.64918333,8.64805,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Beacon_Beach
Beacon Point,,Thailand,97.6532,8.6305,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Beacon_Point
Deep Six,,Thailand,97.63466667,8.599966667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Deep_Six
East of Eden,,Thailand,97.64073372,8.588298739,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/East_of_Eden
Koh Ngai,,Thailand,99.20001984,7.394982674,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Koh_Ngai
Koh Kraden Wreck,,Thailand,99.25031662,7.29368213,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Koh_Kraden_Wreck
Hin Daeng,,Thailand,98.82398333,7.1461,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Hin_Daeng
Hin Muang,,Thailand,98.83131667,7.159416667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Hin_Muang
Ko Rok Nok,,Thailand,99.05395,7.2144,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Ko_Rok_Nok
Ko Rok Nai,,Thailand,99.06135,7.223816667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Ko_Rok_Nai
The Emarald Cave,,Thailand,99.27368333,7.375316667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/The_Emarald_Cave
Ko Yung,,Thailand,98.77211667,7.81195,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Ko_Yung
Ko See,,Thailand,98.80693333,7.9311,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Ko_See
Ko Yawabon,,Thailand,98.77568333,7.945133333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Ko_Yawabon
Coral Gardens,,Thailand,97.64925,8.48385,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Coral_Gardens
Ko Yung Pinnacle,,Thailand,98.77445,7.821883333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Ko_Yung_Pinnacle
Hin Phae,,Thailand,98.78633333,7.721883333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Hin_Phae
Ko Haa Yai  5 - The Cathedral,,Thailand,98.89151667,7.423566667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lanta/Ko_Ha_Yai
Boulder City,,Thailand,97.67031667,8.50985,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Boulder_City
Eastern Shallows,,Thailand,97.65193333,8.4747,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Eastern_Shallows
Shark Point,,Thailand,98.81443333,7.633833333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Shark_Point
Koh Hah,,Thailand,98.80383333,7.9236,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Koh_Hah
Koh Bida Nok,,Thailand,98.76383333,7.653383333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Koh_Bida_Nok
Lohsamah Bay,,Thailand,98.76818333,7.6719,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Lohsamah_Bay
Maya Cave,,Thailand,98.75941667,7.677166667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Maya_Cave
Richelieu Rock,,Thailand,97.98362732,9.363707817,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Richelieu_Rock
Ko Tachai,,Thailand,97.81335,9.0576,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Ko_Tachai
Ko Bon Pinnacle,,Thailand,97.79746667,8.83355,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Ko_Bon_Pinnacle
Ko Bon,,Thailand,97.79515,8.8273,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Surin/Ko_Bon
Koh Kra,,Thailand,100.7385,8.3813,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Koh_Kra
Ko Wao,,Thailand,99.67175,9.7792,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Ko_Wao
Hin Yippon,,Thailand,99.714,9.800783333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Hin_Yippon
Ao Cheweng,,Thailand,100.0719738,9.5372726,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Ao_Cheweng
Samran Pinnacle,,Thailand,99.92018333,9.966233333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Samran_Pinnacle
Hin Bai,,Thailand,99.98925,9.947733333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Hin_Bai
Shark Point,,Thailand,98.62693333,7.8005,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Shark_Point
Anemone reef,,Thailand,98.62795,7.8077,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Anemone_reef
Coral Island,,Thailand,98.37481667,7.74765,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Coral_Island
Rocky Point,,Thailand,97.65586667,8.476966667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Rocky_Point
Donald Duck Bay,,Thailand,97.64216667,8.667216667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Donald_Duck_Bay
Stonehenge,,Thailand,97.62771667,8.578783333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Stonehenge
Kanpela Point,,Thailand,98.32481667,7.49735,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Kanpela_Point
Siam Bay,,Thailand,98.37158333,7.614316667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Siam_Bay
The Rock,,Thailand,98.34008333,7.539366667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/The_Rock
Bungalow Bay,,Thailand,98.36066667,7.6117,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Bungalow_Bay
Staghorn reef,,Thailand,98.37873333,7.60315,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Staghorn_reef
King Cruiser Wreck,,Thailand,98.64331667,7.802466667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/King_Cruiser_Wreck
Koh Dok Mai,,Thailand,98.53083333,7.796433334,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Koh_Dok_Mai
Racha Yai Bay 3,,Thailand,98.37436667,7.59985,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Lucy_s_Reef
Northern Tip,,Thailand,98.3345,7.52645,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Northern_Tip
Ray Bahn,,Thailand,98.30436667,7.463083333,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Ray_Bahn
Petchbury Bremen wreck,,Thailand,100.7499333,12.66088333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/Petchbury_Bremen_wreck
Ko Rin,,Thailand,100.6988833,12.79353333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/Ko_Rin
Pak-1 wreck,,Thailand,101.6821833,12.09173333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/Pak-1_wreck
HTMS Khram,,Thailand,100.6931833,12.93258333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/HTMS_Khram
Elephant Head,,Thailand,97.64133453,8.621671712,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Elephant_Head
Shark Fin Reef,,Thailand,97.67377853,8.509214521,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Shark_Fin_Reef
Fantasea Reef,,Thailand,97.63652802,8.656038763,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Fantasea_Reef
North Point,,Thailand,97.64468193,8.68446346,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/North_Point
